Internal_ID	BioSample	Sub_site	Subject_gender	Raw_read_count_R1	Raw_read_count_R2	Raw_total_reads	QC_read_count_R1	QC_read_count_R2	QC_total_reads	Reads_failed_QC	Percentage_reads_passed_QC
SRS014468_SV	SRS014468	SV	female	1159503.00	1159503.00	2319006.00	1105600.00	1105600.00	2211200.00	107806	95.3512
SRS011144_BM	SRS011144	BM	male	1483467.00	1483467.00	2966934.00	1378881.00	1378881.00	2757762.00	209172	92.9499
SRS014472_BM	SRS014472	BM	female	1293587.00	1293587.00	2587174.00	1242703.00	1242703.00	2485406.00	101768	96.0664
SRS011090_BM	SRS011090	BM	female	1787927.00	1787927.00	3575854.00	1655580.00	1655580.00	3311160.00	264694	92.5977
SRS013825_BM	SRS013825	BM	male	3613122.00	3613122.00	7226244.00	3256259.00	3256259.00	6512518.00	713726	90.1231
SRS013942_SV	SRS013942	SV	male	3774293.00	3774293.00	7548586.00	3589375.00	3589375.00	7178750.00	369836	95.1006
SRS014107_SUBP	SRS014107	SUBP	male	4258293.00	4258293.00	8516586.00	3964647.00	3964647.00	7929294.00	587292	93.1041
SRS013711_BM	SRS013711	BM	male	4722401.00	4722401.00	9444802.00	4366173.00	4366173.00	8732346.00	712456	92.4566
SRS013881_BM	SRS013881	BM	male	4871707.00	4871707.00	9743414.00	4504119.00	4504119.00	9008238.00	735176	92.4546
SRS013239_BM	SRS013239	BM	male	5871706.00	5871706.00	11743412.00	5418236.00	5418236.00	10836472.00	906940	92.277
SRS014126_BM	SRS014126	BM	female	6559663.00	6559663.00	13119326.00	6335043.00	6335043.00	12670086.00	449240	96.5757
SRS011247_BM	SRS011247	BM	female	10584793.00	10584793.00	21169586.00	9722960.00	9722960.00	19445920.00	1723666	91.8578
SRS011310_BM	SRS011310	BM	female	9621330.00	9621330.00	19242660.00	9245770.00	9245770.00	18491540.00	751120	96.0966
SRS013506_BM	SRS013506	BM	male	9470714.00	9470714.00	18941428.00	8769229.00	8769229.00	17538458.00	1402970	92.5931
SRS013950_SUBP	SRS013950	SUBP	male	12183857.00	12183857.00	24367714.00	11127082.00	11127082.00	22254164.00	2113550	91.3264
SRS013947_PT	SRS013947	PT	male	14175593.00	14175593.00	28351186.00	12369641.00	12369641.00	24739282.00	3611904	87.2601
SRS013663_SUPP	SRS013663	SUPP	male	21563037.00	21563037.00	43126074.00	10612214.00	10612214.00	21224428.00	21901646	49.2148
SRS013502_TD	SRS013502	TD	male	16954312.00	16954312.00	33908624.00	15715384.00	15715384.00	31430768.00	2477856	92.6925
SRS013651_TD	SRS013651	TD	male	19808286.00	19808286.00	39616572.00	12748270.00	12748270.00	25496540.00	14120032	64.3583
SRS013948_TH	SRS013948	TH	male	14756200.00	14756200.00	29512400.00	14323963.00	14323963.00	28647926.00	864474	97.0708
SRS011255_SUPP	SRS011255	SUPP	female	17139627.00	17139627.00	34279254.00	16101624.00	16101624.00	32203248.00	2076006	93.9438
SRS013945_BM	SRS013945	BM	male	15741641.00	15741641.00	31483282.00	15076422.00	15076422.00	30152844.00	1330438	95.7741
SRS011343_SUPP	SRS011343	SUPP	female	18769948.00	18769948.00	37539896.00	17799448.00	17799448.00	35598896.00	1941000	94.8295
SRS013836_SUPP	SRS013836	SUPP	male	17669267.00	17669267.00	35338534.00	16532634.00	16532634.00	33065268.00	2273266	93.5672
SRS013927_TD	SRS013927	TD	male	20345718.00	20345718.00	40691436.00	17973851.00	17973851.00	35947702.00	4743734	88.3422
SRS013938_SUPP	SRS013938	SUPP	male	26844224.00	26844224.00	53688448.00	13079560.00	13079560.00	26159120.00	27529328	48.7239
SRS014404_TD	SRS014404	TD	female	28120211.00	28120211.00	56240422.00	24341524.00	24341524.00	48683048.00	7557374	86.5624
SRS013818_TD	SRS013818	TD	male	26076039.00	26076039.00	52152078.00	23750494.00	23750494.00	47500988.00	4651090	91.0817
SRS014127_TD	SRS014127	TD	female	29172620.00	29172620.00	58345240.00	25256600.00	25256600.00	50513200.00	7832040	86.5764
SRS014402_SUPP	SRS014402	SUPP	female	31546211.00	31546211.00	63092422.00	22210482.00	22210482.00	44420964.00	18671458	70.4062
SRS013533_SUPP	SRS013533	SUPP	female	27145575.00	27145575.00	54291150.00	23454742.00	23454742.00	46909484.00	7381666	86.4036
SRS011098_SUPP	SRS011098	SUPP	female	22687892.00	22687892.00	45375784.00	21611289.00	21611289.00	43222578.00	2153206	95.2547
SRS014473_KG	SRS014473	KG	female	27709774.00	27709774.00	55419548.00	25100118.00	25100118.00	50200236.00	5219312	90.5822
SRS013170_SUPP	SRS013170	SUPP	male	28900567.00	28900567.00	57801134.00	27676706.00	27676706.00	55353412.00	2447722	95.7653
SRS012918_BM	SRS012918	BM	female	62448762.00	62448762.00	124897524.00	1743034.00	1743034.00	3486068.00	121411456	2.79114
SRS012285_SUPP	SRS012285	SUPP	female	33972604.00	33972604.00	67945208.00	32516728.00	32516728.00	65033456.00	2911752	95.7146
SRS011243_TD	SRS011243	TD	female	29166869.00	29166869.00	58333738.00	24939946.00	24939946.00	49879892.00	8453846	85.5078
SRS013234_TD	SRS013234	TD	male	35041854.00	35041854.00	70083708.00	32215962.00	32215962.00	64431924.00	5651784	91.9357
SRS013164_TD	SRS013164	TD	male	38498273.00	38498273.00	76996546.00	35347876.00	35347876.00	70695752.00	6300794	91.8168
SRS012989_SUPP	SRS012989	SUPP	male	67816575.00	67816575.00	135633150.00	10621166.00	10621166.00	21242332.00	114390818	15.6616
SRS013949_SUPP	SRS013949	SUPP	male	35354180.00	35354180.00	70708360.00	33297320.00	33297320.00	66594640.00	4113720	94.1821
SRS011086_TD	SRS011086	TD	female	36887940.00	36887940.00	73775880.00	30108623.00	30108623.00	60217246.00	13558634	81.6219
SRS013946_KG	SRS013946	KG	male	38122253.00	38122253.00	76244506.00	35550162.00	35550162.00	71100324.00	5144182	93.253
SRS013723_SUPP	SRS013723	SUPP	male	41780445.00	41780445.00	83560890.00	39671904.00	39671904.00	79343808.00	4217082	94.9533
SRS014470_TD	SRS014470	TD	female	39231020.00	39231020.00	78462040.00	37875651.00	37875651.00	75751302.00	2710738	96.5452
SRS013879_TD	SRS013879	TD	male	41345635.00	41345635.00	82691270.00	39596419.00	39596419.00	79192838.00	3498432	95.7693
SRS012985_BM	SRS012985	BM	male	81090489.00	81090489.00	162180978.00	11301910.00	11301910.00	22603820.00	139577158	13.9374
SRS014271_TD	SRS014271	TD	male	42215652.00	42215652.00	84431304.00	38493627.00	38493627.00	76987254.00	7444050	91.1833
SRS012922_SUPP	SRS012922	SUPP	female	66427335.00	66427335.00	132854670.00	23857505.00	23857505.00	47715010.00	85139660	35.9152
SRS013252_SUPP	SRS013252	SUPP	male	45543003.00	45543003.00	91086006.00	41425808.00	41425808.00	82851616.00	8234390	90.9598
SRS011152_SUPP	SRS011152	SUPP	male	30745764.00	30745764.00	61491528.00	28548246.00	28548246.00	57096492.00	4395036	92.8526
SRS013705_TD	SRS013705	TD	male	48384672.00	48384672.00	96769344.00	45508623.00	45508623.00	91017246.00	5752098	94.0559
SRS014124_TD	SRS014124	TD	female	46944227.00	46944227.00	93888454.00	45151829.00	45151829.00	90303658.00	3584796	96.1819
SRS011306_TD	SRS011306	TD	female	50182997.00	50182997.00	100365994.00	46867202.00	46867202.00	93734404.00	6631590	93.3926
SRS012279_TD	SRS012279	TD	female	52496559.00	52496559.00	104993118.00	48972080.00	48972080.00	97944160.00	7048958	93.2863
SRS012983_TD	SRS012983	TD	male	74430087.00	74430087.00	148860174.00	37318300.00	37318300.00	74636600.00	74223574	50.1387
SRS011140_TD	SRS011140	TD	male	38365195.00	38365195.00	76730390.00	35705826.00	35705826.00	71411652.00	5318738	93.0683
SRS012916_TD	SRS012916	TD	female	87421535.00	87421535.00	174843070.00	61834024.00	61834024.00	123668048.00	51175022	70.7309
SRS011126_SUPP	SRS011126	SUPP	male	48137192.00	48137192.00	96274384.00	44672273.00	44672273.00	89344546.00	6929838	92.802
